case_id,t_state,t_county,p_name,p_year,p_tnum,t_manu,t_model,t_cap,t_ttlh,xlong,ylat,Range
3049507,MI,Tuscola County,Cross Winds Energy Park,2014,62,GE Wind,GE1.79-100,1790,146.0,-83.557976,43.602631,1000 - 2000
3049697,MI,Tuscola County,Cross Winds Energy Park,2014,62,GE Wind,GE1.79-100,1790,146.0,-83.438416,43.61861,1000 - 2000
3022927,MT,Fallon County,Diamond Willow Wind,2008,12,GE Wind,GE1.5-77,1500,118.6,-104.19208499999999,46.273891,1000 - 2000
3035784,OK,Roger Mills County,Elk City II,2010,48,GE Wind,GE1.5-82.5,1500,121.3,-99.683189,35.471092,1000 - 2000
3022586,MN,Jackson County,Elm Creek,2008,66,GE Wind,GE1.5-77,1500,118.6,-94.941292,43.757294,1000 - 2000
3014093,WY,Uinta County,Evanston (Wyoming Wind Energy Center),2003,80,Vestas,V80-1.8,1800,107.0,-110.76042199999999,41.385124,1000 - 2000
3025896,MO,Atchison County,Farmers City,2009,73,Gamesa,G87-2.0,2000,121.6,-95.405495,40.578693,2000 - 3000
3012438,NY,Madison County,Fenner Wind Power Project,2001,19,GE Wind,GE1.5-70.5,1500,100.3,-75.760597,43.001090999999995,1000 - 2000
3039321,KS,Harper County,Flat Ridge 2,2012,262,GE Wind,GE1.6-100,1600,130.1,-98.33959200000001,37.371796,1000 - 2000
3039424,KS,Harper County,Flat Ridge 2,2012,262,GE Wind,GE1.6-100,1600,130.1,-98.212189,37.379093,1000 - 2000
3039391,KS,Kingman County,Flat Ridge 2,2012,262,GE Wind,GE1.6-100,1600,130.1,-98.28569,37.391791999999995,1000 - 2000
3039509,KS,Kingman County,Flat Ridge 2,2012,262,GE Wind,GE1.6-100,1600,130.1,-98.29518900000001,37.400494,1000 - 2000
3075935,TX,Scurry County,Fluvanna I,2017,74,Gamesa,G114-2.1,2100,136.9,-101.16534399999999,32.868759000000004,2000 - 3000
3041939,IN,Benton County,Fowler Ridge I,2009,182,Vestas,V82-1.65,1650,121.0,-87.279892,40.640991,1000 - 2000
3042861,IL,LaSalle County,Grand Ridge,2008,66,GE Wind,GE1.5-77,1500,118.6,-88.725197,41.231693,1000 - 2000
3042835,IL,LaSalle County,Grand Ridge III/IV,2009,40,GE Wind,GE1.5-77,1500,118.6,-88.72429699999999,41.191792,1000 - 2000
3042825,IL,LaSalle County,Grand Ridge III/IV,2009,40,GE Wind,GE1.5-77,1500,118.6,-88.74329399999999,41.162490999999996,1000 - 2000
3052881,NE,Holt County,Grande Prairie,2016,200,Vestas,V110-2.0,2000,135.0,-98.405334,42.575241,2000 - 3000
3050602,TX,Gray County,Grandview II (Colbeck's Corner),2016,112,GE Wind,GE1.79-100,1790,130.1,-101.046791,35.355755,1000 - 2000
3043272,MI,Gratiot County,Gratiot County,2012,69,GE Wind,GE1.6-82.5,1600,141.1,-84.483292,43.358891,1000 - 2000
3057218,OK,Ellis County,Great Western,2016,63,Vestas,V100-2.0,2000,141.4,-99.51709,36.157051,2000 - 3000
3051186,TX,Knox County,Green Pastures II,2015,50,Acciona,AW116/3000,3000,150.0,-99.479424,33.634155,≥ 3000
3023964,TX,Kenedy County,Gulf Wind,2009,118,Mitsubishi,MWT92/2.4,2400,125.9,-97.52449,27.006895,2000 - 3000
3057306,TX,Howard County,Gunsight,2016,67,GE Wind,GE1.79-100,1790,130.1,-101.427521,32.493973,1000 - 2000
3056279,ME,Hancock County,Hancock,2016,17,Vestas,V117-3.3,3000,175.0,-68.11808,44.771361999999996,≥ 3000
3049248,ME,Hancock County,Hancock,2016,17,Vestas,V117-3.3,3000,175.0,-68.133354,44.73624,≥ 3000
3049729,IN,Randolph County,Headwaters,2014,100,Vestas,V100-2.0,2000,145.1,-84.964333,40.101452,2000 - 3000
3047477,TX,Deaf Smith County,Hereford 1,2014,54,GE Wind,GE1.85-87,1850,123.4,-102.222481,34.773434,1000 - 2000
3054022,TX,Hidalgo County,Hidalgo (Los Mirasoles),2016,75,Vestas,V110-2.0,2000,135.0,-98.439285,26.515071999999996,2000 - 3000
3032422,WY,Albany County,High Plains,2009,66,GE Wind,GE1.5-77,1500,118.6,-106.02648899999998,41.682293,1000 - 2000
3027626,IN,Benton County,Hoosier,2009,53,REpower,MM92,2000,126.2,-87.24649000000001,40.732594,2000 - 3000
3066089,TX,Taylor County,Horse Hollow Wind Energy Center,2005,140,GE Wind,GE1.5-87,1500,123.4,-100.038719,32.25032,1000 - 2000
3033705,OR,Gilliam County,Horseshoe Bend,2012,116,GE Wind,GE2.5-100,2500,135.0,-120.05818899999998,45.566494,2000 - 3000
3037172,OR,Morrow County,Horseshoe Bend,2012,116,GE Wind,GE2.5-100,2500,135.0,-119.99088300000001,45.597294,2000 - 3000
3074175,IA,Ida County,Ida Grove,2016,120,GE Wind,GE2.3-116,2300,138.1,-95.494247,42.289906,2000 - 3000
3039694,KS,Ford County,Ironwood I,2012,73,Siemens,SWT-2.3-101,2300,130.5,-99.78009,37.828995,2000 - 3000
3019351,TX,Hansford County,JD Wind 4,2008,38,Suzlon,S88,2100,123.1,-101.371788,36.406193,2000 - 3000
3059649,TX,Webb County,Javelina II,2016,91,GE Wind,GE2.0-116,2000,152.1,-98.934715,27.401065999999997,2000 - 3000
3035901,OK,Woodward County,Keenan II,2010,66,Siemens,SWT-2.3-101,2300,130.5,-99.495293,36.280895,2000 - 3000
3034490,ME,Franklin County,Kibby Mountain II,2010,22,Vestas,V90-3.0,3000,125.0,-70.547096,45.32869,≥ 3000
3042797,VT,Orleans County,Kingdom Community Wind,2012,21,Vestas,V112-3.0,3000,139.9,-72.423698,44.753292,≥ 3000
3047693,OK,Kingfisher County,Kingfisher Wind,2016,59,Vestas,V100-2.0,2000,130.1,-97.782539,35.742691,2000 - 3000
3060424,KS,Kingman County,Kingman Wind Energy Center,2016,110,GE Wind,GE1.715-103,1715,131.4,-98.239227,37.578251,1000 - 2000
3014798,OR,Sherman County,Klondike II,2005,50,GE Wind,GE1.5-77,1500,118.6,-120.594986,45.573795000000004,1000 - 2000
3022772,OR,Sherman County,Klondike III,2007,80,GE Wind,GE1.5-77,1500,118.6,-120.60498799999999,45.542694,1000 - 2000
3070841,MN,Lincoln County,Lake Benton I,1998,143,Enron,Z48,750,77.1,-96.30154399999999,44.277802,< 1000
3030071,MN,Jackson County,Lakefield,2011,137,GE Wind,GE1.5-77,1500,118.6,-95.10619399999999,43.62849,1000 - 2000
3042216,PA,Lycoming County,Laurel Hill,2012,30,Siemens,SWT-2.3-101,2300,130.5,-77.053299,41.524693,2000 - 3000
